"Campo","Nacionalidad","Estado civil","Ocupación del cónyugue","Tipo de emprendimiento","Ciudad o localidad","Zona o barrio","Departamento"
"","","","","","","",""
"Opciones","Afganistán","Soltero(a)","Dependiente Privado","","","",""
"","Albania","Casado(a)","Dependiente del Estado o Sector Público","","","",""
"","Alemania","Viudo(a)","Independiente","","","",""
"","Andorra","Divorciado(a)","Labores de casa","","","",""
"","Angola","","Estudiante","","","",""
"","Anguila","","Comercio ","","","",""
"","Antigua y Barbuda","","","","","",""
"","Antillas Neerlandesas","","","","","",""
"","Arabia Saudí","","","","","",""
"","Argelia","","","","","",""
"","Argentina","","","","","",""
"","Armenia","","","","","",""
"","Aruba","","","","","",""
"","Australia","","","","","",""
"","Austria","","","","","",""
"","Azerbaiyán","","","","","",""
"","Bahamas","","","","","",""
"","Bangladesh","","","","","",""
"","Barbados","","","","","",""
"","Baréin","","","","","",""
"","Bélgica","","","","","",""
"","Belice","","","","","",""
"","Benín","","","","","",""
"","Bermudas","","","","","",""
"","Bielorrusia","","","","","",""
"","Bolivia","","","","","",""
"","Bosnia-Herzegovina","","","","","",""
"","Botsuana","","","","","",""
"","Brasil","","","","","",""
"","Brunéi","","","","","",""
"","Bulgaria","","","","","",""
"","Burkina Faso","","","","","",""
"","Burundi","","","","","",""
"","Bután","","","","","",""
"","Cabo Verde","","","","","",""
"","Camboya","","","","","",""
"","Camerún","","","","","",""
"","Canadá","","","","","",""
"","Caribe neerlandés","","","","","",""
"","Catar","","","","","",""
"","Chad","","","","","",""
"","Chile","","","","","",""
"","China","","","","","",""
"","Chipre","","","","","",""
"","Ciudad del Vaticano","","","","","",""
"","Colombia","","","","","",""
"","Comoras","","","","","",""
"","Corea del Norte","","","","","",""
"","Corea del Sur","","","","","",""
"","Costa de Marfil","","","","","",""
"","Costa Rica","","","","","",""
"","Croacia","","","","","",""
"","Cuba","","","","","",""
"","Curazao","","","","","",""
"","Dinamarca","","","","","",""
"","Dominica","","","","","",""
"","Ecuador","","","","","",""
"","Egipto","","","","","",""
"","El Salvador","","","","","",""
"","Emiratos Árabes Unidos","","","","","",""
"","Eritrea","","","","","",""
"","Eslovaquia","","","","","",""
"","Eslovenia","","","","","",""
"","España","","","","","",""
"","Estados Unidos","","","","","",""
"","Estonia","","","","","",""
"","Etiopía","","","","","",""
"","Filipinas","","","","","",""
"","Finlandia","","","","","",""
"","Fiyi","","","","","",""
"","Francia","","","","","",""
"","Gabón","","","","","",""
"","Gambia","","","","","",""
"","Georgia","","","","","",""
"","Ghana","","","","","",""
"","Gibraltar","","","","","",""
"","Granada","","","","","",""
"","Grecia","","","","","",""
"","Groenlandia","","","","","",""
"","Guadalupe","","","","","",""
"","Guam","","","","","",""
"","Guatemala","","","","","",""
"","Guayana Francesa","","","","","",""
"","Guernsey","","","","","",""
"","Guinea","","","","","",""
"","Guinea Ecuatorial","","","","","",""
"","Guinea-Bisáu","","","","","",""
"","Guyana","","","","","",""
"","Haití","","","","","",""
"","Honduras","","","","","",""
"","Hong Kong (RAE de China)","","","","","",""
"","Hungría","","","","","",""
"","India","","","","","",""
"","Indonesia","","","","","",""
"","Irak","","","","","",""
"","Irán","","","","","",""
"","Irlanda","","","","","",""
"","Isla de Man","","","","","",""
"","Isla Norfolk","","","","","",""
"","Islandia","","","","","",""
"","Islas Åland","","","","","",""
"","Islas Caimán","","","","","",""
"","Islas Cocos (Keeling)","","","","","",""
"","Islas Cook","","","","","",""
"","Islas Feroe","","","","","",""
"","Islas Malvinas","","","","","",""
"","Islas Marianas del Norte","","","","","",""
"","Islas Marshall","","","","","",""
"","Islas Pitcairn","","","","","",""
"","Islas Salomón","","","","","",""
"","Islas Turcas y Caicos","","","","","",""
"","Islas Vírgenes Británicas","","","","","",""
"","Islas Vírgenes de los Estados Unidos","","","","","",""
"","Israel","","","","","",""
"","Italia","","","","","",""
"","Jamaica","","","","","",""
"","Japón","","","","","",""
"","Jersey","","","","","",""
"","Jordania","","","","","",""
"","Kazajistán","","","","","",""
"","Kenia","","","","","",""
"","Kirguistán","","","","","",""
"","Kiribati","","","","","",""
"","Kosovo","","","","","",""
"","Kuwait","","","","","",""
"","Laos","","","","","",""
"","Lesoto","","","","","",""
"","Letonia","","","","","",""
"","Líbano","","","","","",""
"","Liberia","","","","","",""
"","Libia","","","","","",""
"","Liechtenstein","","","","","",""
"","Lituania","","","","","",""
"","Luxemburgo","","","","","",""
"","Macao (RAE de China)","","","","","",""
"","Macedonia","","","","","",""
"","Madagascar","","","","","",""
"","Malasia","","","","","",""
"","Malaui","","","","","",""
"","Maldivas","","","","","",""
"","Mali","","","","","",""
"","Malta","","","","","",""
"","Marruecos","","","","","",""
"","Martinica","","","","","",""
"","Mauricio","","","","","",""
"","Mauritania","","","","","",""
"","Mayotte","","","","","",""
"","México","","","","","",""
"","Micronesia","","","","","",""
"","Moldavia","","","","","",""
"","Mónaco","","","","","",""
"","Mongolia","","","","","",""
"","Montenegro","","","","","",""
"","Montserrat","","","","","",""
"","Mozambique","","","","","",""
"","Myanmar (Birmania)","","","","","",""
"","Namibia","","","","","",""
"","Nauru","","","","","",""
"","Nepal","","","","","",""
"","Nicaragua","","","","","",""
"","Níger","","","","","",""
"","Nigeria","","","","","",""
"","Niue","","","","","",""
"","Noruega","","","","","",""
"","Nueva Caledonia","","","","","",""
"","Nueva Zelanda","","","","","",""
"","Omán","","","","","",""
"","Países Bajos","","","","","",""
"","Pakistán","","","","","",""
"","Palaos","","","","","",""
"","Panamá","","","","","",""
"","Papúa Nueva Guinea","","","","","",""
"","Paraguay","","","","","",""
"","Perú","","","","","",""
"","Polinesia Francesa","","","","","",""
"","Polonia","","","","","",""
"","Portugal","","","","","",""
"","Puerto Rico","","","","","",""
"","Reino Unido","","","","","",""
"","República Centroafricana","","","","","",""
"","República Checa","","","","","",""
"","República del Congo","","","","","",""
"","República Democrática del Congo","","","","","",""
"","República Dominicana","","","","","",""
"","Reunión","","","","","",""
"","Ruanda","","","","","",""
"","Rumanía","","","","","",""
"","Rusia","","","","","",""
"","Sáhara Occidental","","","","","",""
"","Samoa","","","","","",""
"","Samoa Americana","","","","","",""
"","San Bartolomé","","","","","",""
"","San Cristóbal y Nieves","","","","","",""
"","San Marino","","","","","",""
"","San Martín","","","","","",""
"","San Pedro y Miquelón","","","","","",""
"","San Vicente y las Granadinas","","","","","",""
"","Santa Elena","","","","","",""
"","Santa Lucía","","","","","",""
"","Santo Tomé y Príncipe","","","","","",""
"","Senegal","","","","","",""
"","Serbia","","","","","",""
"","Seychelles","","","","","",""
"","Sierra Leona","","","","","",""
"","Singapur","","","","","",""
"","Sint Maarten","","","","","",""
"","Siria","","","","","",""
"","Somalia","","","","","",""
"","Sri Lanka","","","","","",""
"","Suazilandia","","","","","",""
"","Sudáfrica","","","","","",""
"","Sudán","","","","","",""
"","Sudán del Sur","","","","","",""
"","Suecia","","","","","",""
"","Suiza","","","","","",""
"","Surinam","","","","","",""
"","Svalbard y Jan Mayen","","","","","",""
"","Tailandia","","","","","",""
"","Taiwán","","","","","",""
"","Tanzania","","","","","",""
"","Tayikistán","","","","","",""
"","Territorio Británico del Océano Índico","","","","","",""
"","Territorios Palestinos","","","","","",""
"","Timor Oriental","","","","","",""
"","Togo","","","","","",""
"","Tokelau","","","","","",""
"","Tonga","","","","","",""
"","Trinidad y Tobago","","","","","",""
"","Túnez","","","","","",""
"","Turkmenistán","","","","","",""
"","Turquía","","","","","",""
"","Tuvalu","","","","","",""
"","Ucrania","","","","","",""
"","Uganda","","","","","",""
"","Uruguay","","","","","",""
"","Uzbekistán","","","","","",""
"","Vanuatu","","","","","",""
"","Venezuela","","","","","",""
"","Vietnam","","","","","",""
"","Wallis y Futuna","","","","","",""
"","Yemen","","","","","",""
"","Yibuti","","","","","",""
"","Zambia","","","","","",""
"","Zimbabue","","","","","",""
